Subject,Age,Gender,Ethnicity,Exercise,L_category,Active,L_history,L_duration,L_intensity,LI_1,LI_2r,LI_3,LI_4r,LI_5,LI_6r,LI_7,LI_8r,LI_9,LI_10r,LF_1,LF_2r,LF_3,LF_4r,LF_5,LF_6r,LF_7,LF_8r,LF_9,LF_10r,LM_1,LM_2r,LM_3,LM_4r,LM_5,LM_6r,LM_7,LM_8r,LM_9,LM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1001,19,0,4,1,Read,1,5,3,2,2,4,3,4,3,2,4,4,2,4,4,3,4,2,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,100,99,479.7163,564.0426,1,84.3263,3,4,4,1,6,4,5,3.857142857
1002,19,0,2,1,View,0,5,3,1,2,5,4,5,4,3,2,2,4,3,3,3,2,2,3,1,2,5,2,3,4,4,3,2,5,3,4,3,4,3,99,92.92929293,508.1284,539.1574747,6.070707071,31.02907475,3,4,4,6,1.5,2.5,3,3.428571429
1004,20,0,2,1,Listen (Music),0,5,5,3,2,4,5,4,5,3,4,4,2,4,4,3,5,3,5,3,5,4,5,3,5,3,4,3,5,3,5,3,2,2,98.92473118,97.91666667,433.7169892,503.1566667,1.008064516,69.43967742,3,2,4.5,4.5,7,8,7.5,5.214285714
1005,23,1,4,1,Read,1,2,3,1,5,5,5,4,5,1,5,5,2,5,4,2,5,1,5,1,4,5,4,3,1,3,3,2,5,2,1,1,1,1,99,96,446.6163,517.6702,3,71.0539,3,4,4,3.5,2.5,4,2.5,3.357142857
1006,23,1,2,1,Game,1,5,5,2,2,3,5,2,3,1,4,2,5,2,5,2,5,4,5,3,5,5,5,5,5,1,5,1,5,1,2,1,5,1,100,97,391.2146,447.8597,3,56.6451,3,4,3,4,2.5,1,3.5,3
1008,25,0,2,1,Game,1,5,5,NA,3,3,4,2,3,2,2,3,4,3,3,2,4,3,2,2,3,3,4,4,3,2,4,1,2,3,3,3,2,2,100,98.98989899,432.6574,523.6236364,1.01010101,90.96623636,3,3,5,5,5,2,4,3.857142857
1009,18,0,2,1,View,0,5,5,2,3,3,3,3,2,4,3,3,4,3,3,3,4,3,2,3,2,4,3,4,4,3,4,3,4,3,3,3,3,2,100,89.8989899,378.4606316,459.9145455,10.1010101,81.45391388,2,4,5,6,6,6.5,8,5.357142857
1010,18,0,2,1,Instrument (Music),1,3,2,3,1,5,1,5,1,1,5,1,5,1,5,1,5,2,5,1,5,2,5,1,3,3,4,2,4,2,4,2,4,2,100,97,428.1926,525.1304,3,96.9378,3,4,5,6,7,8,8,5.857142857
1011,19,0,4,1,View,0,5,5,1,1,5,4,3,2,3,2,2,3,2,3,5,1,3,2,2,1,4,1,3,2,2,4,2,4,3,5,4,1,3,100,100,528.2417,620.3151,0,92.0734,3,4,5,6,3,1.5,2.5,3.571428571
1012,24,0,3,1,Paint,1,5,3,2,5,4,4,3,3,2,5,4,2,2,4,3,3,2,5,2,2,5,3,3,3,3,4,2,4,4,5,2,4,3,81.44329897,77.89473684,505.8175258,530.188,3.548562127,24.37047423,2,1,3,3,1.5,1,1.5,1.857142857
