"Subject","Age","Gender","Ethnicity","Exercise","E_category","Dynamic","E_history","E_duration","E_intensity","EI_1","EI_2","EI_3","EI_4","EI_5","EF_1","EF_2","EF_3","EF_4","EF_5","EM_1","EM_2","EM_3","EM_4","EM_5","Trail1Error","Trail2Error","Trail3Error","Trail4Error","Trail5Error","SumTrailError","Trail1RT","Trail2RT","Trail3RT","Trail4RT","Trail5RT","MeanTrailRT","Baseline_Correct_Go_RT","Calibration_Noncancelled_Go_RT","Calibration_Correct_Go_RT","Test_Correct_Go_RT","Test_Noncancelled_Go_RT","NCER_M","NCER","NCER_P","Go_RT_M","Go_RT","Go_RT_P","SSD_M","SSD","SSD_P","SSRT_M","SSRT","SSRT_P","SSRT_Mean"
"1299",22,1,3,1,"Weight Train",0,5,5,4,3,5,4,3,4,3,4,2,2,2,3,2,1,2,4,0,1,0,1,1,3,54.7823,46.2373,44.8887,54.8866,47.7456,49.7081,296.78577,265.571366666667,296.692941666667,305.372653703704,303.410504,0.666666666666667,0.5,0.916666666666667,315.346,298.7407,332.0268,0,0,40,315.346,298.7407,NA,307.04335
"1300",18,2,2,1,"Weight Train",0,4,2,4,3,3,4,3,2,3,4,4,3,3,2,3,3,2,3,0,4,2,6,6,18,62.182,67.6955,60.8112,57.6224,55.0159,60.6654,290.268516326531,351.87311,388.645754166667,407.712356481481,359.10525,0.333333333333333,0.666666666666667,0.833333333333333,365.1045,414.972,481.393,130,170,210,235.1045,244.972,271.393,250.489833333333
"1302",20,2,4,1,"Yoga",0,2,4,3,4,4,3,4,2,3,4,2,3,1,4,4,3,2,1,0,2,1,1,6,10,47.8075,43.2772,51.5175,65.9683,70.3505,55.7842,293.969636734694,296.6524875,364.062421276596,332.374630188679,322.422675,0.75,0.75,0.833333333333333,348.59,348.59,398.3102,0,0,40,348.59,348.59,358.3102,351.830066666667
"1303",20,2,3,1,"Softball",1,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,7,2,4,3,17,70.605,71.6274,79.5069,72.6479,69.6092,72.79928,294.983129166667,454.409075,455.432433333333,456.31275462963,341.30934375,0.25,0.583333333333333,0.5,348.5841,431.6503,414.9766,90,130,170,258.5841,301.6503,244.9766,268.403666666667
"1305",21,1,6,1,"Run",0,5,5,3,3,4,5,3,2,2,3,3,2,3,2,2,3,3,2,7,5,5,2,4,23,78.1122,75.4872,76.9121,71.3433,61.5363,72.67822,267.604718367347,341.94562,357.899889583333,375.779313888889,316.766533333333,0.5,0.75,0.75,348.5355,414.9019,414.9019,90,130,170,258.5355,284.9019,244.9019,262.779766666667
"1306",18,2,3,1,"Cycle",0,4,2,4,4,4,4,3,3,5,3,3,2,2,3,2,1,3,3,1,1,0,0,2,4,53.8378,47.1164,52.1353,51.8209,54.9535,51.97278,361.14585,329.8684875,462.655147916667,409.397769444444,340.763033333333,0.333333333333333,0.5,0.416666666666667,348.5322,381.6808,365.0742,130,170,210,218.5322,211.6808,155.0742,195.095733333333
"1307",20,1,2,1,"Basketball",1,5,2,3,3,5,5,5,5,4,5,5,5,5,4,5,5,4,5,8,1,2,1,6,18,72.1846,49.7437,75.2828,62.4781,76.2265,67.18314,397.314526,334.2859,456.405995833333,446.570693518519,375.4721875,0.333333333333333,0.333333333333333,0.666666666666667,381.7257,381.7257,481.2363,130,170,210,251.7257,211.7257,271.2363,244.8959
"1308",18,2,4,1,"Rugby",1,5,3,4,1,4,4,3,5,3,4,4,5,5,4,5,4,5,5,0,2,0,0,1,3,55.3096,63.478,45.7016,46.6742,40.5404,50.34076,279.053406122449,302.387122222222,367.182833333333,374.338110377358,300.549051851852,0.583333333333333,0.833333333333333,0.833333333333333,348.4512,431.5253,431.5253,130,170,210,218.4512,261.5253,221.5253,233.833933333333
"1309",20,2,3,1,"Volleyball",1,5,4,3,2,4,3,2,5,3,4,3,3,4,4,4,4,4,5,1,0,1,0,1,3,56.369,49.0987,54.7085,55.058,55.5717,54.16118,288.82257,306.165844444444,366.20754375,318.750186111111,298.774158333333,0.333333333333333,0.666666666666667,1,298.7326,331.9976,514.5845,10,50,90,288.7326,281.9976,NA,285.3651
"1310",18,2,2,1,"Walk",0,5,2,2,1,3,2,2,1,2,1,1,1,1,2,3,1,3,3,2,1,4,1,2,10,38.2987,46.8202,51.4115,48.2635,48.7445,46.70768,336.322153061224,381.683466666667,568.118097916667,506.678228703704,394.99193,0.333333333333333,0.0833333333333333,0.416666666666667,448.2007,348.5848,481.2861,130,170,210,318.2007,NA,271.2861,294.7434
"1068",20,2,2,1,"Jog",0,5,1,3,1,1,4,1,1,3,2,2,1,1,3,1,1,3,2,18,19,49,12,10,108,76.7452,140.1268,138.8896,92.3462,79.4765,105.51686,330.569975510204,459.944828571429,532.55125,474.546182524272,473.24766,0.916666666666667,1,1,597.5907,5693.6227,5693.6227,130,170,210,NA,NA,NA,261.4448
"1129",20,2,2,1,"Gym",0,3,3,4,3,5,5,2,2,4,3,3,4,2,2,3,4,3,3,2,3,8,4,3,20,45.732,51.1393,64.0982,56.3325,49.1984,53.30008,316.378972916667,436.305328571429,579.550133333333,326.145376086957,262.682331428571,1,0.916666666666667,1,1029.1142,464.7391,1029.1142,210,250,290,NA,NA,NA,281.183
