Subject,Age,Gender,Ethnicity,Exercise,E_category,Dynamic,E_history,E_duration,E_intensity,EI_1,EI_2r,EI_3,EI_4r,EI_5,EI_6r,EI_7,EI_8r,EI_9,EI_10r,EF_1,EF_2r,EF_3,EF_4r,EF_5,EF_6r,EF_7,EF_8r,EF_9,EF_10r,EM_1,EM_2r,EM_3,EM_4r,EM_5,EM_6r,EM_7,EM_8r,EM_9,EM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1172,20,0,2,1,Run,0,3,2,3,3,4,4,3,4,3,2,3,2,3,3,3,3,3,2,4,3,4,3,4,3,4,3,4,2,3,4,3,2,3,99,100,414.9232,456.4199,-1,41.4967,3,4,5,6,7,8,8,5.857142857
1173,20,0,1,1,Kickbox,1,5,5,4,3,3,3,4,3,2,3,3,3,4,4,1,4,3,3,3,3,4,4,3,3,2,3,2,3,4,3,3,1,3,92.63157895,79.78723404,442.9264211,506.9831915,12.8443449,64.05677044,3,4,1.5,2,3,2.5,3,2.714285714
1175,21,1,2,1,Basketball,1,3,3,2,3,3,4,2,3,4,3,3,2,3,3,3,4,2,4,3,2,4,3,3,3,3,3,2,4,3,2,2,2,3,100,98,403.185,453.6554,2,50.4704,3,3,4,3.5,3.5,8,6.5,4.5
1176,19,1,8,1,Run,0,5,4,4,1,4,2,4,5,3,2,5,5,5,5,3,5,2,4,4,4,5,3,1,4,1,5,2,4,5,3,2,4,4,98.95833333,84.53608247,381.7797917,431.9151546,14.42225086,50.13536297,3,4,4,5,6.5,5,6,4.785714286
1177,23,0,2,1,Dance,0,5,3,3,3,4,3,5,2,1,5,4,2,5,5,2,5,2,5,1,1,4,5,1,4,4,5,1,5,5,1,2,2,1,100,96,440.8209,495.4288,4,54.6079,3,4,5,6,7,2,6.5,4.785714286
1181,20,0,2,1,Tennis,1,5,2,3,3,5,2,4,4,2,4,4,3,5,3,3,5,2,3,2,4,4,4,3,4,3,5,4,3,5,2,3,3,3,97.89473684,89.79591837,404.6083158,466.082449,8.098818475,61.47413319,3,4,5,4,6,2.5,5.5,4.285714286
1183,18,0,4,1,Weight Train,0,5,3,3,3,4,4,3,4,2,2,3,2,4,4,4,3,3,3,4,2,4,3,3,3,3,4,4,3,4,4,2,2,3,100,94,449.8971134,484.6989,6,34.8017866,3,4,2,6,5,3,3.5,3.785714286
1185,18,1,4,1,Weight Train,0,5,5,3,3,5,4,3,5,1,2,4,2,3,3,2,3,2,3,2,3,3,3,4,2,2,2,4,2,3,2,1,1,1,98,94,469.0285,530.6195,4,61.591,3,4,4.5,6,5,3.5,5,4.428571429
1186,18,0,6,1,Volleyball,1,5,4,3,2,1,3,1,3,1,1,2,5,3,4,2,4,2,2,4,3,2,5,3,5,4,5,1,2,4,2,4,4,2,100,98,700.6975758,698.8382,2,-1.859375758,3,4,3,5,3,3,5,3.714285714
1187,19,0,2,1,Weight Train,0,4,2,3,3,4,2,4,3,3,3,4,2,4,2,4,3,2,2,4,3,2,2,2,2,3,2,5,2,2,1,3,2,4,100,95.6043956,587.2268,789.6161538,4.395604396,202.3893538,3,4,2.5,5.5,4.5,3.5,2.5,3.642857143
1190,18,0,2,1,Swim,0,5,4,3,4,5,4,3,2,4,2,2,2,4,3,4,2,2,2,2,2,3,3,3,3,4,2,2,3,2,1,3,2,2,100,91.66666667,371.12,426.0453125,8.333333333,54.9253125,3,4,3.5,5.5,7,8,9,5.714285714
1192,19,0,4,1,Gym,0,5,3,4,2,3,4,3,3,2,2,4,3,3,3,4,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,97.43589744,92.95774648,638.8594872,805.8983099,4.478150957,167.0388227,2,4,5,2,2.5,3,0.5,2.714285714
1193,24,0,2,1,Walk,0,3,2,1,3,4,2,3,3,4,2,3,2,3,4,4,3,2,3,3,3,4,2,3,4,4,3,4,3,4,4,4,2,4,100,99,556.6764,631.8791,1,75.2027,3,4,5,3,7,2,2.5,3.785714286
1194,19,0,8,1,Basketball,1,5,2,2,4,2,5,3,4,2,2,3,4,2,5,5,4,4,4,1,4,2,3,1,5,2,4,4,3,4,4,2,4,4,100,96,411.1250505,473.7359,4,62.61084949,3,4,5,5,3,4.5,2.5,3.857142857
1195,20,0,2,1,Cycle,0,2,2,3,4,4,3,4,4,3,2,2,2,4,4,3,2,3,2,3,3,2,2,4,5,3,4,2,2,3,1,4,4,4,99,90.90909091,455.9194,526.2538384,8.090909091,70.33443838,3,4,5,5,6,7.5,3.5,4.857142857
1196,18,1,2,1,Volleyball,1,5,3,4,3,2,4,2,4,2,2,4,4,2,4,3,3,3,2,2,2,4,4,3,5,2,5,2,3,4,4,4,3,3,100,97,469.858,530.4523,3,60.5943,3,4,5,6,7,7,2,4.857142857
1197,18,0,3,1,Hike,0,5,4,3,4,3,3,3,4,3,3,4,2,4,3,2,3,2,3,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,100,99,444.9599,526.4764,1,81.5165,3,4,5,3,3.5,0.5,0.5,2.785714286
1198,18,1,8,1,Run,0,5,2,3,2,3,4,3,5,1,2,3,4,3,3,2,2,4,4,3,3,3,3,2,2,4,3,1,5,3,3,2,2,3,100,98,401.6387,447.2872,2,45.6485,3,4,4,5,3,3,2.5,3.5
1203,19,0,2,1,Walk,0,2,1,3,2,4,3,4,3,3,4,2,3,2,3,2,3,2,3,3,3,4,2,2,2,3,3,2,3,4,3,3,2,4,96.875,82.65306122,432.0344792,492.49,14.22193878,60.45552083,3,4,5,3,5,4,7.5,4.5
