Subject,Age,Gender,Ethnicity,Exercise,E_category,Dynamic,E_history,E_duration,E_intensity,EI_1,EI_2r,EI_3,EI_4r,EI_5,EI_6r,EI_7,EI_8r,EI_9,EI_10r,EF_1,EF_2r,EF_3,EF_4r,EF_5,EF_6r,EF_7,EF_8r,EF_9,EF_10r,EM_1,EM_2r,EM_3,EM_4r,EM_5,EM_6r,EM_7,EM_8r,EM_9,EM_10r,Flanker.Congruent.acc,Flanker.Incongruent.acc,Flanker.Congruent.RT,Flanker.Incongruent.RT,Flanker.Inhibition.Acc,Flanker.Inhibition.RT,WM.C3,WM.C4,WM.C5,WM.C6,WM.C7,WM.C8,WM.C9,WM.Capacity
1074,21,1,2,1,Badminton,1,5,5,4,2,1,5,3,4,1,1,3,5,3,5,3,5,3,5,1,5,5,5,3,5,1,5,3,5,1,5,1,5,5,100,96.96969697,463.8895,630.5537374,3.03030303,166.6642374,3,4,5,6,7,5,3.5,4.785714286
1075,20,1,3,1,Hockey,1,4,3,3,3,2,2,4,2,3,3,4,3,3,4,4,3,2,4,3,2,3,4,3,4,3,4,3,4,3,4,4,2,3,96.96969697,90.90909091,507.5331313,511.5586869,6.060606061,4.025555556,3,3,4,0.5,2,0.5,1,2
1076,19,0,3,1,Rugby,1,5,5,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,2,2,3,4,4,3,3,3,4,3,4,3,2,4,3,3,100,89.8989899,410.0962,474.1593939,10.1010101,64.06319394,3,4,3,4.5,4,5.5,3.5,3.928571429
1078,21,0,2,1,Badminton,1,5,4,3,2,2,4,3,4,2,2,2,5,4,4,4,4,4,2,4,2,3,2,5,5,1,5,1,4,2,2,3,5,1,98.91304348,82.41758242,388.1876087,436.971978,16.49546106,48.78436933,3,4,3.5,2.5,4,2.5,1.5,3
1079,20,0,8,1,Gym,0,5,2,4,4,3,4,4,2,4,4,3,3,4,4,1,1,1,3,2,4,2,3,4,1,3,3,4,4,1,3,4,3,3,98,90.32258065,442.6533,520.4030108,7.677419355,77.74971075,1,4,5,0,2,5,1.5,2.642857143
1080,20,0,8,1,Jog,0,5,1,2,2,4,2,2,3,4,2,3,2,4,2,4,2,3,2,3,2,4,2,3,4,4,2,4,4,3,4,4,2,4,100,99,421.4376768,515.6663,1,94.22862323,3,4,5,6,6,3,5,4.571428571
1081,20,0,2,1,Kickbox,1,5,2,4,3,3,4,1,5,1,4,3,4,4,4,3,4,3,3,3,4,4,4,3,3,2,4,2,5,1,4,3,3,2,99,90,441.5415,517.0701,9,75.5286,3,4,2.5,2,3.5,2.5,3.5,3
1082,22,0,2,1,Weight Train,0,5,2,3,4,3,3,3,4,2,4,3,3,3,4,3,3,2,3,2,3,2,3,2,3,2,3,3,3,2,4,3,4,3,100,100,356.8255319,401.4002062,0,44.57467427,3,4,5,6,4.5,8,9,5.642857143
1083,22,0,2,1,Walk,0,5,2,3,1,2,3,3,2,1,2,2,5,2,4,3,4,2,1,2,2,3,4,2,5,2,3,5,3,4,4,4,4,4,100,90.90909091,420.5494,494.7163636,9.090909091,74.16696364,3,4,5,4.5,7,5,7.5,5.142857143
1084,23,0,2,1,Yoga,0,5,1,2,3,3,3,4,3,2,3,3,2,4,3,4,3,3,2,3,2,4,3,3,3,4,3,4,2,2,4,3,1,4,100,100,470.0315,521.8308,0,51.7993,3,4,5,6,5,3.5,2.5,4.142857143
1085,19,1,2,1,Swim,0,5,3,4,4,4,3,2,4,2,3,3,3,3,3,2,4,3,3,2,3,3,3,2,3,3,4,2,4,2,3,3,2,3,100,100,577.37,698.0041304,0,120.6341304,3,3,5,6,7,4.5,5.5,4.857142857
1086,20,1,4,1,Weight Train,0,5,3,3,5,5,4,4,4,2,5,4,1,4,3,2,4,2,1,3,1,4,1,3,3,2,5,4,3,3,2,2,2,2,100,98,390.2446,489.6771,2,99.4325,3,3,3.5,5,3.5,3,2,3.285714286
1087,19,1,3,1,Jog,0,3,5,3,3,3,5,3,4,2,4,3,4,3,3,2,3,3,2,4,3,3,2,4,2,3,4,1,5,3,5,3,2,5,100,97,424.049,520.4886,3,96.4396,3,2,4,5,7,4,5,4.285714286
1088,19,1,1,1,Rugby,1,5,5,4,2,3,4,2,5,2,2,4,5,4,5,3,4,4,4,3,4,5,5,4,4,4,4,2,4,3,5,5,5,3,100,91.91919192,477.2023232,575.7814141,8.080808081,98.57909091,3,3,3,5,2.5,2.5,4.5,3.357142857
1089,19,0,2,1,Volleyball,1,5,3,4,4,3,5,1,5,2,4,1,5,3,5,2,3,3,2,4,5,5,5,2,4,3,5,1,3,4,5,5,3,4,100,98,441.8083,505.7171,2,63.9088,3,4,4.5,2.5,2.5,4,2.5,3.285714286
1090,18,0,2,1,Badminton,1,5,2,2,2,2,2,4,3,4,3,3,4,4,2,3,4,3,2,4,3,4,4,3,4,3,3,4,2,3,4,3,2,4,100,100,445.3541,548.796,0,103.4419,3,4,4,6,5.5,2,2.5,3.857142857
1093,20,1,2,1,Swim,0,4,2,3,2,3,4,2,4,3,4,2,3,3,2,3,3,2,3,2,4,4,3,3,1,3,3,2,4,3,2,3,4,2,100,100,473.3349,540.4111,0,67.0762,2,3,4.5,1.5,5.5,6,1.5,3.428571429
1094,18,0,2,1,Dance,0,5,3,3,3,2,5,2,5,1,5,4,1,5,5,1,5,1,5,1,5,5,3,3,3,3,4,1,5,3,2,4,2,3,98.98989899,98.98989899,446.5014141,477.5206061,0,31.01919192,2.5,4,2.5,1,2,1.5,3,2.357142857
1095,23,1,4,1,Weight Train,0,5,5,3,4,3,4,3,4,2,4,3,3,3,4,2,3,2,3,3,4,4,3,3,4,2,4,2,4,4,4,3,3,3,100,93,439.0752525,515.8406,7,76.76534747,3,4,5,5.5,6,2.5,1.5,3.928571429
1097,23,1,3,1,Cycle,0,5,5,4,1,2,4,4,2,2,2,2,3,1,2,2,3,2,1,3,3,4,1,2,2,3,3,4,2,3,1,1,4,1,100,97,412.8189,458.9611,3,46.1422,3,4,5,6,7,3.5,4.5,4.714285714
1098,23,0,3,1,Cycle,0,5,5,3,3,3,3,5,4,2,2,3,4,5,3,2,3,2,2,3,2,3,2,2,4,3,3,4,3,4,1,2,2,4,100,86.86868687,389.9272727,483.8263636,13.13131313,93.89909091,3,2,5,6,3.5,1.5,2,3.285714286
1101,19,0,4,1,Run,0,2,2,3,4,4,4,3,3,1,4,4,3,5,2,3,3,3,2,5,1,4,4,4,3,2,4,3,2,3,1,2,2,2,100,95,402.0384,482.7095,5,80.6711,3,4,4.5,6,6,4.5,4.5,4.642857143
1102,21,0,3,1,Weight Train,0,5,5,4,5,3,4,5,5,2,1,5,3,5,4,2,4,2,1,2,2,5,3,3,3,2,3,3,2,5,3,2,3,2,95.78947368,97.8021978,510.9144211,584.0806593,-2.012724118,73.16623829,3,4,4,5,1,4.5,4,3.642857143
1103,20,0,2,1,Dance,0,5,5,4,4,3,4,3,4,2,3,4,5,4,5,3,5,4,5,3,3,4,4,2,2,4,3,4,5,4,1,4,3,2,100,97,418.8903,494.2549,3,75.3646,3,4,5,6,7,8,9,6
1105,21,0,4,1,Yoga,0,5,3,4,4,4,5,5,5,2,5,5,1,5,5,4,5,4,5,5,5,5,4,4,2,2,4,2,5,3,1,1,2,1,100,92,401.1272,472.6853,8,71.5581,2,2.5,5,6,6,4,8.5,4.857142857
1106,20,0,4,1,Gym,0,5,3,3,5,4,4,4,5,1,5,4,4,4,4,2,4,3,4,2,5,4,4,2,1,3,4,4,4,4,4,1,3,1,92.92929293,84.04255319,506.7368687,579.9143617,8.886739738,73.17749302,1.5,3,5,3,3.5,2,3,3
1107,20,0,3,1,Run,0,3,2,3,2,3,3,4,4,2,2,4,3,4,4,2,3,2,3,3,2,4,3,3,4,2,4,4,3,3,3,3,3,2,100,93,402.4111,504.0077,7,101.5966,3,4,5,4,4,4.5,4.5,4.142857143
1108,24,1,3,1,Gym,0,5,3,4,3,3,4,4,4,2,3,3,3,4,3,3,4,2,3,2,2,3,2,3,3,3,2,3,4,2,4,2,3,3,100,92.92929293,402.2470707,460.0923232,7.070707071,57.84525253,3,4,5,4,7,2.5,3.5,4.142857143
1109,20,1,2,1,Basketball,1,5,3,3,3,4,4,4,3,2,2,2,3,4,3,4,5,4,3,3,4,5,3,3,3,3,5,3,3,3,1,3,3,4,100,87.87878788,374.6264045,466.8876768,12.12121212,92.26127227,3,4,5,4.5,4.5,6,3,4.285714286
1110,22,0,3,1,Run,0,5,2,3,2,4,3,3,4,3,1,2,3,5,2,3,2,1,2,3,2,4,1,3,1,4,3,1,1,2,2,3,2,3,100,88.7755102,483.6396,566.5035714,11.2244898,82.86397143,3,3.5,3.5,5,2.5,5,0.5,3.285714286
1111,20,1,2,1,Walk,0,5,5,2,3,2,3,2,4,3,3,2,4,4,5,3,3,1,3,3,4,5,2,3,5,1,5,3,3,3,5,2,3,2,99,99,425.3729,469.0276,0,43.6547,1.5,0.5,2,0,0.5,0.5,1.5,0.928571429
1112,20,0,4,1,Jog,0,2,2,3,2,2,4,2,3,2,2,2,4,5,4,4,4,3,2,2,3,4,1,3,2,3,4,4,2,2,3,3,4,2,96,95.95959596,491.9384,576.5628283,0.04040404,84.62442828,3,4,5,6,4.5,6,5.5,4.857142857
1113,20,0,2,1,Run,0,2,3,3,1,2,3,5,4,3,2,3,2,4,3,1,4,1,1,2,1,2,2,3,2,1,5,4,1,5,2,3,5,1,100,89.8989899,384.0354,449.6242424,10.1010101,65.58884242,2,2.5,5,5,2.5,2.5,3,3.214285714
1114,20,0,5,1,Run,0,2,3,3,2,4,2,3,2,4,2,3,2,4,2,4,2,2,2,3,2,4,2,3,3,3,2,3,2,2,3,3,3,4,99,91.91919192,412.4195,475.6045455,7.080808081,63.18504545,3,4,3.5,2,3,3,2,2.928571429
1116,18,0,1,1,Martial Arts,1,2,5,3,4,4,4,4,4,2,3,3,3,3,5,2,2,2,2,2,3,3,4,4,2,1,5,2,3,1,4,2,3,2,100,86.02150538,462.7528571,572.4127957,13.97849462,109.6599386,3,4,5,4.5,3.5,4,0.5,3.5
1117,22,0,3,1,Hockey,1,4,3,3,2,4,3,3,2,3,2,3,3,3,3,3,4,3,3,2,4,3,4,4,4,2,4,3,4,3,4,4,4,2,97.97979798,87,409.379596,538.2475,10.97979798,128.867904,2,4,4,3,4,3,3.5,3.357142857
1118,21,0,2,1,Basketball,1,5,4,4,4,3,4,3,5,1,5,3,5,1,5,4,5,4,5,4,5,4,5,4,5,1,5,1,5,1,5,1,5,1,100,94.89795918,390.3633333,436.2589796,5.102040816,45.89564626,3,3.5,4,6,5,2,6,4.214285714
1119,21,0,8,1,Yoga,0,2,3,3,3,4,3,3,4,2,3,3,4,2,4,1,5,3,2,3,4,5,4,2,4,2,4,2,4,2,2,3,4,2,100,85.26315789,371.4545556,413.4069474,14.73684211,41.95239181,3,1,4,2.5,3,3.5,4,3
1121,24,1,8,1,Walk,0,2,1,2,2,4,4,4,3,3,2,3,2,4,4,4,3,4,4,3,3,5,2,4,2,4,2,3,3,3,3,2,2,4,100,89,409.8841414,465.7038,11,55.81965859,3,4,3,4.5,7,6.5,0.5,4.071428571
1123,20,0,4,1,Spin,0,5,5,4,5,1,5,4,5,3,2,5,2,4,4,3,4,4,5,5,4,5,5,2,1,4,5,4,4,1,5,3,4,2,100,88,479.2257576,539.7721,12,60.54634242,3,2.5,5,6,5.5,7,6,5
1124,20,0,3,1,Swim,0,5,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,4,2,2,2,2,3,3,3,3,2,2,3,3,98.91304348,96.62921348,629.2676087,654.2137079,2.283829995,24.94609917,2,3,2,4,3.5,3.5,2,2.857142857
1126,22,0,2,1,Jog,0,2,2,3,2,4,2,3,4,2,2,4,3,4,3,2,3,2,2,3,3,3,3,4,2,4,3,3,4,3,3,2,4,2,100,99,509.8579,539.1049,1,29.247,3,4,5,5,7,7,6,5.285714286
1127,19,0,3,1,Kickbox,1,3,3,4,3,2,3,4,4,2,3,4,3,4,4,3,4,3,3,3,4,4,4,4,2,3,4,2,4,4,3,3,3,2,100,97,405.2897,492.4403,3,87.1506,3,4,4.5,3.5,4,1.5,2,3.214285714
1128,23,0,2,1,Swim,0,5,3,4,3,4,4,2,4,2,3,4,2,4,4,2,4,2,4,2,4,4,2,2,2,2,4,2,4,2,4,2,4,2,100,99,388.5870707,449.4483,1,60.86122929,3,4,3,4,7,8,6.5,5.071428571
1130,22,0,4,1,Cycle,0,5,2,4,3,3,3,4,2,3,2,4,2,4,2,2,2,2,2,2,1,5,1,5,1,3,2,4,2,4,2,3,2,4,100,94.94949495,459.6817172,539.3268687,5.050505051,79.64515152,3,4,2,5.5,5,7.5,8.5,5.071428571
1131,22,0,2,1,Walk,0,5,1,1,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,5,5,1,5,98.98989899,96.90721649,468.590303,566.4550515,2.082682495,97.86474852,3,2.5,5,6,0.5,1,2,2.857142857
1132,19,1,3,1,Gym,0,5,5,3,3,4,4,4,4,2,3,4,2,4,3,2,4,3,2,3,2,4,2,3,2,2,2,3,3,4,2,3,2,2,100,96,409.6646,514.2396,4,104.575,3,3,3,6,6,2,2,3.571428571
1133,21,0,3,1,Hike,0,5,5,4,4,1,3,3,5,1,5,4,3,3,4,1,5,4,4,2,5,4,5,4,5,4,4,2,5,3,4,4,3,2,100,96.96969697,427.1589899,537.6510101,3.03030303,110.4920202,3,4,1.5,4.5,6.5,5,4,4.071428571
1137,19,0,4,1,Jog,0,5,1,3,2,5,3,4,4,2,2,4,2,4,3,2,3,2,4,2,4,4,4,3,3,3,4,4,3,4,4,2,3,3,96.96969697,84.21052632,403.0042424,416.3218947,12.75917065,13.31765231,3,4,5,6,5.5,7,4.5,5
1138,21,0,8,1,Dance,0,2,5,2,3,4,3,3,4,3,4,4,3,2,3,4,3,5,4,4,3,4,3,5,3,3,3,1,3,3,1,3,2,3,100,95,442.2524242,536.7607,5,94.50827576,3,4,5,6,3.5,4,0,3.642857143
1139,20,0,8,1,Yoga,0,5,2,2,3,5,5,5,5,1,3,4,3,4,4,2,5,3,4,2,2,5,3,3,4,2,3,4,4,2,4,2,3,3,95.95959596,95.91836735,512.5056566,547.7168367,0.041228613,35.21118017,3,4,5,6,5.5,4.5,3.5,4.5
1140,19,0,2,1,Jog,0,2,2,3,3,4,4,4,3,2,2,4,3,3,3,2,4,2,3,2,3,4,3,3,4,2,3,3,4,3,2,3,3,3,100,98.98989899,600.5305051,691.0675758,1.01010101,90.53707071,3,1,4,4,1.5,2.5,1,2.428571429
1141,20,0,2,1,Weight Train,0,2,4,3,4,5,3,5,5,2,3,4,4,5,4,3,5,4,3,2,4,5,4,3,2,3,4,2,4,2,4,3,1,3,100,91,432.5693,494.1534,9,61.5841,3,4,4,4,5,5,8.5,4.785714286
