"Subject","Age","Gender","Ethnicity","Exercise","L_category","Active","L_history","L_duration","L_intensity","LI_1","LI_2","LI_3","LI_4","LI_5","LF_1","LF_2","LF_3","LF_4","LF_5","LM_1","LM_2","LM_3","LM_4","LM_5","Trail1Error","Trail2Error","Trail3Error","Trail4Error","Trail5Error","SumTrailError","Trail1RT","Trail2RT","Trail3RT","Trail4RT","Trail5RT","MeanTrailRT","Baseline_Correct_Go_RT","Calibration_Noncancelled_Go_RT","Calibration_Correct_Go_RT","Test_Correct_Go_RT","Test_Noncancelled_Go_RT","NCER_M","NCER","NCER_P","Go_RT_M","Go_RT","Go_RT_P","SSD_M","SSD","SSD_P","SSRT_M","SSRT","SSRT_P","SSRT_Mean"
"1184",20,2,2,1,"View",0,5,5,1,2,4,2,2,4,2,2,2,2,2,2,2,2,3,2,2,1,1,0,2,6,42.1395,45.1956,46.9731,52.2381,44.3981,46.18888,309.033826,350.616525,376.536927083333,382.185350925926,359.96418125,0.25,0.25,0.833333333333333,348.4767,348.4767,431.4708,50,90,130,298.4767,258.4767,301.4708,286.1414
"1185",21,2,2,1,"View",0,5,4,3,3,4,2,3,3,3,4,4,4,3,4,4,4,3,3,2,7,2,7,5,23,48.2703,46.7312,40.8673,48.7596,42.1571,45.3571,265.856079166667,275.8929125,298.027489583333,316.714658878505,296.763594117647,0.0833333333333333,0.583333333333333,0.75,265.5387,315.3493,331.9746,0,0,40,NA,315.3493,291.9746,303.66195
"1186",19,2,3,0,"Game",1,5,3,3,2,4,1,2,4,4,4,3,3,3,5,5,4,5,5,4,8,4,3,3,22,72.6382,64.78,75.7516,59.3097,60.7959,66.65508,285.965822916667,377.6010625,430.880735416667,398.682869158879,326.683136363636,0.416666666666667,0.666666666666667,0.75,331.9712,448.1986,481.3786,50,90,130,281.9712,358.1986,351.3786,330.516133333333
"1187",23,2,2,0,"View",0,5,5,2,1,5,1,1,1,1,1,1,1,1,3,4,3,2,5,3,5,7,8,5,28,48.3196,51.4195,59.3519,58.7848,51.088,53.79276,231.95696,315.3421375,376.54748125,360.513532407407,326.688010526316,0.333333333333333,0.583333333333333,0.666666666666667,315.3038,348.5158,381.699,50,90,130,265.3038,258.5158,251.699,258.5062
"1188",20,2,2,0,"Listen (Music)",0,5,4,1,1,3,1,3,2,3,1,1,1,1,4,3,3,5,1,4,3,4,5,2,18,34.2663,35.6158,41.6829,43.4342,35.474,38.09464,250.243202,352.653625,363.38631875,314.223089719626,288.554733333333,0.25,0.5,0.75,265.6129,298.7133,331.9781,10,50,90,255.6129,248.7133,241.9781,248.7681
"1189",19,2,3,1,"Listen (Music)",0,5,2,2,2,4,3,2,2,3,2,2,2,2,3,4,3,5,4,0,3,3,1,3,10,60.6708,56.3074,58.2272,75.638,67.0005,63.56878,368.50377,400.218577777778,453.701179166667,515.185693518519,456.47666875,0.416666666666667,0.333333333333333,0.583333333333333,481.3488,464.7478,514.5717,170,210,250,311.3488,254.7478,264.5717,276.889433333333
"1190",20,2,2,1,"Cook",1,5,3,2,4,3,4,5,4,4,5,4,3,3,3,4,3,4,5,0,3,5,5,1,14,86.5224,90.3795,89.7246,96.0265,76.8901,87.90862,322.310968,324.842314285714,366.858675,350.679658333333,315.336752631579,0.25,0.583333333333333,0.75,298.7486,348.4812,381.6701,50,90,130,248.7486,258.4812,251.6701,252.966633333333
"1191",20,2,2,1,"Game",1,5,4,2,3,3,3,3,3,4,5,3,5,4,4,5,5,4,4,5,3,1,4,4,17,105.0403,89.1725,98.8488,92.4081,71.0239,91.29872,358.47099,313.456444444444,351.97643125,349.292208411215,328.60054,0.666666666666667,0.916666666666667,0.916666666666667,348.516,464.6565,464.6565,90,130,170,258.516,NA,NA,258.516
"1192",23,2,6,1,"Read",1,2,3,2,3,2,3,5,3,4,4,5,3,5,3,2,5,4,2,5,7,4,6,4,26,74.8468,53.5688,64.5243,78.6468,56.8057,65.67848,290.482941666667,466.8335625,522.5390875,451.293883018868,369.327865,0.416666666666667,0.583333333333333,0.666666666666667,398.3278,464.7305,481.3587,90,130,170,308.3278,334.7305,311.3587,318.139
"1193",23,1,2,1,"Game",1,5,5,4,5,3,4,4,5,4,5,3,4,4,3,4,3,4,4,11,10,14,11,18,64,55.3108,53.6276,62.7122,70.9612,55.4375,59.60986,357.166718,381.736744444444,542.88835,557.562218518519,387.597529411765,0.25,0.666666666666667,0.5,414.8874,531.12,481.3812,130,170,210,284.8874,361.12,271.3812,305.7962
